cell	Tier	Description	Lineage	Tissue	Karyotype	Sex	Documents	Vendor.ID	Term.ID	Label
Adult_CD4_Th1	3	CD4+ cells isolated from human blood and enriched for Th1 populations	mesoderm	blood	normal	B	Crawford Stam  	Dr. David Randolph at University of Alabama, Birmingham Adult_CD4_Th1	BTO:0000782	T cells CD4+ Th1 adult
AG04449	3	fetal buttock/thigh fibroblast		skin	normal	M	Stam  	Coriell AG04449	BTO:0001253	AG04449
AG04450	3	fetal lung fibroblast	endoderm	lung	normal	M	Stam  	Coriell AG04450	BTO:0000763	AG04450
AG09309	3	adult toe fibroblast from apparently healthy 21 year old, "7% of the cells examined showing random chromosome loss/gain" -Coriell		skin		F	Stam  	Coriell AG09309	BTO:0001253	AG09309
AG09319	3	gum tissue fibroblasts from apparently heathly 24 year old		gingival	normal	F	Stam  	Coriell AG09319	BTO:0004138	AG09319
AG10803	3	abdominal skin fibroblasts from apparently heathly 22 year old, "8% of the cells examined showing random chromosome loss, 2% showing random chromosome gain, and 2% showing 69,XYY" -Coriell		skin		M	Stam  	Coriell AG10803	BTO:0001253	AG10803
AoAF	3	aortic adventitial fibroblast cells	mesoderm	blood vessel	normal	F	Stam  	Lonza CC-7014, CC-7014T75	BTO:0000135	AoAF
AoSMC	3	aortic smooth muscle cells	mesoderm	blood vessel	normal	U	Crawford  	Lonza CC-2571	BTO:0001685	AoSMC
BC_Adipose_UHN00001	3	adipose tissue, donor UHN0001, age 35, African American, DNA extract		adipose tissue	normal	F	Myers  	BioChain D4234003_A701166	BTO:0001487	Adipose BC UHN00001
BC_Adrenal_Gland_H12803N	3	adrenal gland, donor H12803N, age 88, caucasian, DNA extract	ectoderm, mesoderm	adrenal gland	normal	F	Myers  	BioChain D1234004_B103117	BTO:0000047	Adrenal Gland BC H12803N
BC_Bladder_01-11002	3	urinary bladder, donor 01-11002, age 83, caucasian, DNA extract	endoderm	urinary bladder	normal	F	Myers  	BioChain CP-S12-D1234010-05_B402059	BTO:0001418	Bladder BC 01-11002
BC_Brain_H11058N	3	brain, donor H11058N, age 66, Asian, DNA extract	ectoderm	brain	normal	M	Myers  	BioChain D4234035_A810101	BTO:0000142	Brain BC H11058N
BC_Breast_02-03015	3	breast, donor 02-03015, age 21, caucasian, DNA extract	ectoderm	breast	normal	F	Myers  	BioChain D4234086_A710031	BTO:0000149	Breast BC 02-03015
BC_Colon_01-11002	3	colon, donor 01-11002, age 83, caucasian, DNA and RNA extract	endoderm	colon	normal	F	Myers  	BioChain CP-S12-D1234090-05_A903056	BTO:0000269	Colon BC 01-11002
BC_Colon_H12817N	3	colon, donor H12817N, age 71, caucasian, DNA and RNA extract	endoderm	colon	normal	M	Myers  	BioChain CP-S13-D1234090-05_B111123	BTO:0000269	Colon BC H12817N
BC_Esophagus_01-11002	3	esophagus, donor 01-11002, age 83, caucasian, DNA and RNA extract	endoderm	esophagus	normal	F	Myers  	BioChain CP-S12-D1234106-05_A803198	BTO:0000959	Esophagus BC 01-11002
BC_Esophagus_H12817N	3	esophagus, donor H12817N, age 71, caucasian, DNA extract	endoderm	esophagus	normal	M	Myers  	BioChain CP-S13-D1234106-05_B302113	BTO:0000959	Esophagus BC H12817N
BC_Jejunum_H12817N	3	jejunum, donor H12817N, age 71, caucasian, DNA and RNA extract	endoderm	jejunum	normal	M	Myers  	BioChain CP-S13-D1234230-05_B402068	BTO:0000657	Jejunum BC H12817N
BC_Kidney_01-11002	3	kidney, donor 01-11002, age 83, caucasian, DNA and RNA extract	mesoderm	kidney	normal	F	Myers  	BioChain CP-S12-D1234142-05_B402060	BTO:0000671	Kidney BC 01-11002
BC_Kidney_H12817N	3	kidney, donor H12817N, age 71, caucasian, DNA and RNA extract	mesoderm	kidney	normal	M	Myers  	BioChain CP-S13-D1234142-05_B402061	BTO:0000671	Kidney BC H12817N
BC_Left_Ventricle_N41	3	left ventricle, donor N41, age 26, Asian, DNA extract	mesoderm	left ventricle	normal	M	Myers  	BioChain D1234138_A705026	BTO:0001629	Left Ventricle BC N41
BC_Leukocyte_UHN00204	3	peripheral blood mononuclear cell, donor UHN00204, age 54, caucasian, DNA extract	mesoderm	blood	normal	M	Myers  	BioChain D4234148_A612197	BTO:0001025	Leukocyte BC UHN00204
BC_Liver_01-11002	3	liver, donor 01-11002, age 83, caucasian, DNA and RNA extract	endoderm	liver	normal	F	Myers  	BioChain CP-S12-D1234149-05_B209118	BTO:0000759	Liver BC 01-11002
BC_Lung_01-11002	3	lung, donor 01-11002, age 83, caucasian, DNA and RNA extract	endoderm	lung	normal	F	Myers  	BioChain CP-S12-D1234152-05_A610240	BTO:0000763	Lung BC 01-11002
BC_Lung_H12817N	3	lung, donor H12817N, age 71, caucasian, DNA and RNA extract	endoderm	lung	normal	M	Myers  	BioChain CP-S13-D1234152-05_B402062	BTO:0000763	Lung BC H12817N
BC_Pancreas_H12817N	3	pancreas, donor H12817N, age 71, caucasian, DNA and RNA extract	endoderm	pancreas	normal	M	Myers  	BioChain CP-S13-D1234188-05_B402063	BTO:0000988	Pancreas BC H12817N
BC_Penis_H12817N	3	penis, donor H12817N, age 71, caucasian, DNA extract	mesoderm	penis	normal	M	Myers  	BioChain CP-S13-D1234194-05_B402064	BTO:0000405	Penis BC H12817N
BC_Pericardium_H12529N	3	pericardium, donor H12529N, age 70, caucasian, DNA extract	mesoderm	pericardium	normal	F	Myers  	BioChain D1234133_A712271	BTO:0000717	Pericardium BC H12529N
BC_Placenta_UHN00189	3	placenta, donor UHN00189, age 29	extraembryonic mesoderm, trophectoderm	placenta	normal	F	Myers  	BioChain D4234200_A603104	BTO:0001078	Placenta BC UHN00189
BC_Prostate_Gland_H12817N	3	prostate gland, donor H12817N, age 71, caucasian, DNA extract	endoderm	prostate gland	normal	M	Myers  	BioChain CP-D1234201-05_B101058	BTO:0001129	Prostate Gland BC H12817N
BC_Rectum_N29	3	rectum, donor N29, age 29, Asian, DNA extract	endoderm	rectum	normal	M	Myers  	BioChain D4234206_A712205	BTO:0001158	Rectum BC N29
BC_Skeletal_Muscle_01-11002	3	skeletal muscle, donor 01-11002, age 83, caucasian, DNA and RNA extract	mesoderm	skeletal muscle	normal	F	Myers  	BioChain CP-S12-D1234171-05_A610262	BTO:0001103	Skeletal Muscle BC 01-11002
BC_Skeletal_Muscle_H12817N	3	skeletal muscle, donor H12817N, age 71, caucasian, DNA and RNA extract	mesoderm	skeletal muscle	normal	M	Myers  	BioChain CP-S13-D1234171-05_B402065	BTO:0001103	Skeletal Muscle BC H12817N
BC_Skin_01-11002	3	skin, donor 01-11002, age 83, caucasian, DNA extract	ectoderm, mesoderm	skin	normal	F	Myers  	BioChain CP-S12-D1234218-05_B402066	BTO:0001253	Skin BC 01-11002
BC_Small_Intestine_01-11002	3	small intestine, donor 01-11002, age 83, caucasian, DNA and RNA extract	endoderm	small intestine	normal	F	Myers  	BioChain CP-S12-D1234226-05_B402067	BTO:0000651	Small Intestine BC 01-11002
BC_Spleen_H12817N	3	spleen, donor H12817N, age 71, caucasian, DNA and RNA extract	mesoderm	spleen	normal	M	Myers  	BioChain CP-S13-D1234246-05_B402069	BTO:0001281	Spleen BC H12817N
BC_Stomach_01-11002	3	stomach, donor 01-11002, age 83, caucasian, DNA extract	endoderm	stomach	normal	F	Myers  	BioChain CP-S12-D1234248-05_A808008	BTO:0001307	Stomach BC 01-11002
BC_Stomach_H12817N	3	stomach, donor H12817N, age 71, caucasian, DNA and RNA extract	endoderm	stomach	normal	M	Myers  	BioChain CP-S13-D1234248-05_B402070	BTO:0001307	Stomach BC H12817N
BC_Testis_N30	3	testis, donor N30, age 41, Asian, DNA extract	mesoderm	testis	normal	M	Myers  	BioChain D4234260_A711169	BTO:0001363	Testis BC N30
BC_Uterus_BN0765	3	uterus, donor BN0765, age 44, Asian, DNA extract		uterus	normal	F	Myers  	BioChain D4234274_A810099	BTO:0001424	Uterus BC BN0765
BE2_C	3	neuroblastoma, BE-C is a clone of the SK-N-BE neuroblastoma cell line (see ATCC CRL-2271) that was established in November of 1972 from a bone marrow biopsy taken from a 2-year-old individual with disseminated neuroblastoma after repeated courses of chemotherapy and radiotherapy.	ectoderm	brain	cancer	M	Stam	ATCC CRL-2268	BTO:0001620	BE(2)-C
BG02ES	3	embryonic stem cell (hESC), BG02, treatment: H9 conditioned medium	inner cell mass	embryonic stem cell	normal	M	Myers  	BresaGen, Inc. BG02 (hESBGN.02)	BTO:0001086	BG02ES
BG02ES-EBD	3	embryonic stem cell (hESC), BG02, embryoid body-derived	inner cell mass	embryonic stem cell	normal	M	Myers  	BresaGen, Inc. BG02 (hESBGN.02)	BTO:0001086	BG02ES-EBD
BJ	3	skin fibroblast, "The line was established from skin taken from normal foreskin." - ATCC. (PMID: 9916803)		skin	normal	M	Stam  	ATCC CRL-2522	BTO:0001255	BJ
bone_marrow_HS27a	3	HS27a Human Marrow Stromal Cells are fibroblastoid cells immortalized with HPV16 E6/E7 genes as described in Roecklein and Torok-Storb, 1995 Blood 85:997-1005, insert DNA is LXSN-16 E6E7 packaged in PA31.		bone marrow	normal	M	Stam  	Dr. Beverly Torok-Storb at Fred Hutchison Cancer Research Center HS27a	BTO:0000141	Bone Marrow HS27a
bone_marrow_HS5	3	HS5 Human Marrow Stromal Cells are fibroblastoid cells immortalized with HPV16 E6/E7 genes as described in Roecklein and Torok-Storb, 1995 Blood 85:997-1005, insert DNA is LXSN-16 E6E7 packaged in PA31.		bone marrow	normal	M	Stam  	Dr. Beverly Torok-Storb at Fred Hutchison Cancer Research Center HS5	BTO:0000141	Bone Marrow HS27a
bone_marrow_MSC	3	These cells are primary fibroblastoid cells obtained from human bone marrow of normal donors as described in Roecklein and Torok-Storb, 1995 Blood 85:997-1005.		bone marrow	normal	M	Stam  	Dr. Beverly Torok-Storb at Fred Hutchison Cancer Research Center MSC	BTO:0000141	Bone Marrow HS27a
Breast_OC	3	Primary frozen breast tissue from NCTC donor IDs 11-0068A (Rep B1) and 11-0067A (Rep B2), both African American		breast	normal	F	Crawford  	NCTC 11-0068A	BTO:0000149	Breast_OC
Caco-2	3	colorectal adenocarcinoma. (PMID: 1939345)	endoderm	colon	cancer	M	Stam  	ATCC HTB-37	BTO:0000195	Caco-2
CD34+_Mobilized	3	hematopoietic progenitor cells- mobilized, from donor RO01679.		blood		M	Stam  	Dr. Heimfeld Lab at FHCRC FHCRC	BTO:0000725	CD34+ Mobilized
CD4+_Naive_Wb11970640	3	CD4+ naive sorted cells, donor is Caucasian, male 26 year old, primary pheresis of single normal subject	mesoderm	blood	normal	M	Crawford Stam  	Dr. John Stamatoyannopoulos at UW Wb11970640	BTO:0000782	CD4+_Naive_Wb11970640
CD4+_Naive_Wb78495824	3	CD4+ naive sorted cells, donor is Causasian, female 35 year old, primary pheresis of single normal subject	mesoderm	blood	normal	F	Crawford Stam  	Dr. John Stamatoyannopoulos at UW Wb78495824	BTO:0000782	CD4+_Naive_Wb78495824
Cerebellum_OC	3	Primary frozen cerebellum tissue from NICHD donor IDs 1104 (Rep B1), 602 (Rep B2), 1442 (Rep B3), all Caucasian		cerebellum	normal	M	Crawford  	NICHD 1104	BTO:0000232	Cerebellum_OC
Cerebrum_frontal_OC	3	Primary frozen frontal cerebrum tissue from NICHD donor IDs 1104 (Rep B1), 602 (Rep B2), 1442 (Rep B3), all Caucasian		frontal cerebrum	normal	M	Crawford  	NICHD 1104	BTO:0000239	Cerebrum_frontal_OC
Chorion	3	chorion cells (outermost of two fetal membranes), fetal membranes were collected from women who underwent planned cesarean delivery at term, before labor and without rupture of membranes.	extraembryonic mesoderm, trophectoderm	fetal membrane		U	Crawford  	Dr. Amy Murtha at Duke University	BTO:0000252	Chorion
CLL	3	chronic lymphocytic leukemia cell, T-cell lymphocyte	mesoderm	blood	cancer	F	Crawford  	Dr. Jennifer Brown at Harvard Medical School. CLL	BTO:0001546	CLL
CMK	3	acute megakaryocytic leukemia cells, "established from the peripheral blood of a 10-month-old boy with Down's syndrome and acute megakaryocytic leukemia (AML M7) at relapse in 1985" - DSMZ. (PMID: 3016165)	mesoderm	blood	cancer	M	Stam  	DSMZ ACC-392	BTO:0004962	CMK
Colo829	3	malignant melanoma		skin	cancer	M	Crawford  	ATCC CRL-1974	BTO:0000849	Colo829
Colon_BC	3	colon, parent cell type to donors BC_01-11002 and BC_H12817N	endoderm	colon	normal	B	Myers  	BioChain CP-S12-D1234090-05_A903056	BTO:0000269	Colon BC
Colon_OC	3	Primary frozen colon tissue from NCTC donor IDs 10-0005A (Rep B1) and 10-0170A (Rep B2), African American and caucasian		colon	normal	B	Crawford  	NCTC 10-0005A	BTO:0000269	Colon OC
Cord_CD4_naive	3	CD4+ cells isolated from cord blood and enriched for naive populations	mesoderm	blood	normal	B	Crawford Stam  	Dr. David Randolph at University of Alabama, Birmingham Cord_CD4_naive	BTO:0000782	T cells CD4+ naive cord blood
Cord_CD4_Th0	3	CD4+ cells isolated from cord blood and enriched for Th0 populations	mesoderm	blood	normal	B	Crawford  	Dr. David Randolph at University of Alabama, Birmingham Cord_CD4_Th0	BTO:0000782	T cells CD4+ Th0 cord blood
Cord_CD4_Th1	3	CD4+ cells isolated from cord blood and enriched for Th1 populations	mesoderm	blood	normal	B	Crawford Stam  	Dr. David Randolph at University of Alabama, Birmingham Cord_CD4_Th1	BTO:0000782	T cells CD4+ Th1 cord blood
Decidua	3	decidua cells (part of the mucous membrane lining uterus), Fetal membranes were collected from women who underwent planned cesarean delivery at term, before labor and without rupture of membranes	decidua	cervix		F	Crawford  	Dr. Amy Murtha at Duke University (Durham, NC).	BTO:0001360	Decidua
Dnd41	3	T cell leukemia with Notch mutation	mesoderm	blood	cancer	M	Bernstein  	DSMZ Dnd41	BTO:0001106	Dnd41
ECC-1	3	epithelial cell line derived from an endometrium adenocarcinoma, fetal membranes were collected from women who underwent planned cesarean delivery at term, before labor and without rupture of membranes	endoderm	luminal epithelium	cancer	F	Myers  	ATCC CRL-2923	BTO:0000194	ECC-1
Endometrium_OC	3	Endometrium isolated from uterine lining		endometrium	normal	F	Crawford  	Dr. Steven Young Endometrium_OC	BTO:0001422	Endometrium OC
Esophagus_BC	3	esophagus, parental cell type to donors 01-11002 and H12817N	endoderm	esophagus	normal	B	Myers  	BioChain CP-S12-D1234106-05_A803198	BTO:0000959	Esophagus BC
Fibrobl	3	child fibroblast		skin	normal	F	Crawford  	Coriell AG08470	BTO:0000452	Fibrobl
Fibrobl_GM03348	3	skin fibroblast		skin	normal	M	Crawford  	Coriell GM03348	BTO:0001255	Fibrobl_GM03348
FibroP	3	fibroblasts taken from individuals with Parkinson's disease, AG20443, AG08395 and AG08396 were pooled for this sample		skin	normal	U	Crawford  	Paul Tesar at Case Western University FibroP	BTO:0000452	FibroP
FibroP_AG08395	3	fibroblasts taken from individuals with Parkinson's disease		skin fibroblast		F	Crawford  	Coriell AG08395	BTO:0000452	FibroP_AG08395
FibroP_AG08396	3	fibroblasts taken from individuals with Parkinson's disease		lung fibroblast		F	Crawford  	Coriell AG08396	BTO:0000452	FibroP_AG08396
FibroP_AG20443	3	fibroblasts taken from individuals with Parkinson's disease		skin fibroblast		M	Crawford  	Coriell AG20443	BTO:0000452	FibroP_AG20443
Frontal_cortex_OC	3	Primary ventromedial prefrontal cortex, from KPBBB donor IDs 673 (Rep B1) and 913 (Rep B2)		frontal cortex	normal	F	Crawford  	Kathleen Price Bryan Brain 673	BTO:0000484	Frontal cortex OC
GC_B_cell	3	Germinal center B cells (CD77+) isolated from de-identified tonsillectomy		tonsil	normal	U	Crawford  	Dr. Yanwen Jiang GC_B_cell	BTO:0003671	GC_B_cell
Gliobla	3	glioblastoma, these cells (aka H54 and D54) come from a surgical resection from a patient with glioblastoma multiforme (WHO Grade IV). D54 is a commonly studied glioblastoma cell line (Bao et al., 2006) that has been thoroughly described by S Bigner (1981). (PMID: 7252524)	ectoderm	brain	cancer	U	Crawford  	Dr. Darrell Bigner at Duke University Medical Center D54	BTO:0000527	Gliobla
GM04503	3	adult twin pair fibroblasts, monozygotic twin of GM04504		skin	normal	F	Stam  	Coriell GM04503D	BTO:0001253	GM04503
GM04504	3	adult twin pair fibroblasts, monozygotic twin of GM04503, 13% of the cells examined show random chromosome loss		skin	normal	F	Stam  	Coriell GM04504A	BTO:0001253	GM04504
GM06990	3	B-lymphocyte, lymphoblastoid, International HapMap Project, CEPH/Utah, treatment: Epstein-Barr Virus transformed	mesoderm	blood		F	Stam  	Coriell GM06990	BTO:0002062 (non-specific)	GM06990
GM08714	3	lymphoblastoid cell line, Instability of heterochromatin of chromosomes 1, 9, and 16 with variable combined immunodeficiency; dysmorphic facial features, developmental delay, malabsorption, and recurrent infections; see GM08747 Fibroblast; donor subject is a compound heterozygote: one allele has a G>A transition at nucleotide 1807 (1807G>A) of the DNMT3B gene resulting in an Ala to Thr substitution at codon 603 [Ala603Thr (A603T)], the mutation occurring in a region between motifs I and IV within the catalytic domain of DNMT3B; the second allele has a G>A transition within intron 22 located 11 nucleotides 5-prime of the normal splice acceptor site [IVS22AS,G>A,-11] resulting in the generation of a novel splice acceptor site and a 9-bp insertion in the processed RNA. This results in the insertion of 3 amino acids (serine, threonine, and proline) at codon 744 (744ins3). The insertion was within the conserved region of the catalytic domain, which is likely to be disrupted by the insertion of a proline residue. This mutation was de novo.	mesoderm	blood		F	Farnham  	Coriell GM08714	BTO:0002062	GM08714
GM10248	3	lymphoblastoid cell line, Clinically normal; 4 paternal cousins have Cornelia de Lange syndrome; 46,XY, t(3;22)(q25.3;p12)	mesoderm	blood	normal	M	Crawford  	Coriell GM10248	BTO:0002062	GM10248
GM10266	3	lymphoblastoid cell line, De Lange phenotype; developmental delay; profound retardation; seizures; 3 cousins are also affected; 46,XY,-22,+der (22)t(3;22)(q25.3;p12)	mesoderm	blood	affected	M	Crawford  	Coriell GM10266	BTO:0002062	GM10266
GM10847	3	lymphoblastoid, International HapMap Project, CEPH/Utah, treatment: Epstein-Barr Virus transformed	mesoderm	blood		F	Snyder  	Coriell GM10847	BTO:0002062 (non-specific)	GM10847
GM12801	3	B-lymphocyte, lymphoblastoid, International HapMap Project, CEPH/Utah, treatment: Epstein-Barr Virus transformed	mesoderm	blood		M	Stam  	Coriell GM12801	BTO:0002062 (non-specific)	GM12801
GM12812	3	B-Lymphocyte, Lymphoblastoid, International HapMap Project, CEPH/Utah, Treatment: Epstein-Barr Virus transformed	mesoderm	blood		M	Stam  	Coriell GM12812	BTO:0002062	GM12812
GM12813	3	B-Lymphocyte, Lymphoblastoid, International HapMap Project, CEPH/Utah, Treatment: Epstein-Barr Virus transformed	mesoderm	blood		F	Stam  	Coriell GM12813	BTO:0002062	GM12813
GM12864	3	B-lymphocyte, lymphoblastoid, International HapMap Project, CEPH/Utah pedigree 1459, treatment: Epstein-Barr Virus transformed	mesoderm	blood		M	Stam  	Coriell GM12864	BTO:0002062 (non-specific)	GM12864
GM12865	3	B-lymphocyte, lymphoblastoid, International HapMap Project, CEPH/Utah pedigree 1459, treatment: Epstein-Barr Virus transformed	mesoderm	blood		F	Stam  	Coriell GM12865	BTO:0002062 (non-specific)	GM12865
GM12866	3	B-lymphocyte, lymphoblastoid, International HapMap Project, CEPH/Utah pedigree 1459, treatment: Epstein-Barr Virus transformed.	mesoderm	blood		M	Stam  	Coriell GM12866	BTO:0002062 (non-specific)	GM12866
GM12867	3	B-lymphocyte, lymphoblastoid, International HapMap Project, CEPH/Utah pedigree 1459, treatment: Epstein-Barr Virus transformed.	mesoderm	blood		F	Stam  	Coriell GM12867	BTO:0002062 (non-specific)	GM12867
GM12868	3	B-lymphocyte, lymphoblastoid, International HapMap Project, CEPH/Utah pedigree 1459, treatment: Epstein-Barr Virus transformed.	mesoderm	blood		F	Stam  	Coriell GM12868	BTO:0002062 (non-specific)	GM12868
GM12869	3	B-lymphocyte, lymphoblastoid, International HapMap Project, CEPH/Utah pedigree 1459, treatment: Epstein-Barr Virus transformed.	mesoderm	blood		F	Stam  	Coriell GM12869	BTO:0002062 (non-specific)	GM12869
GM12870	3	B-lymphocyte, lymphoblastoid, International HapMap Project, CEPH/Utah pedigree 1459, treatment: Epstein-Barr Virus transformed.	mesoderm	blood		M	Stam  	Coriell GM12870	BTO:0002062 (non-specific)	GM12870
GM12871	3	B-lymphocyte, lymphoblastoid, International HapMap Project, CEPH/Utah pedigree 1459, treatment: Epstein-Barr Virus transformed.	mesoderm	blood		M	Stam  	Coriell GM12871	BTO:0002062 (non-specific)	GM12871
GM12872	3	B-lymphocyte, lymphoblastoid, International HapMap Project, CEPH/Utah pedigree 1459, treatment: Epstein-Barr Virus transformed	mesoderm	blood		M	Stam  	Coriell GM12872	BTO:0002062 (non-specific)	GM12872
GM12873	3	B-lymphocyte, lymphoblastoid, International HapMap Project, CEPH/Utah pedigree 1459, treatment: Epstein-Barr Virus transformed	mesoderm	blood		F	Stam  	Coriell GM12873	BTO:0002062 (non-specific)	GM12873
GM12874	3	B-lymphocyte, lymphoblastoid, International HapMap Project, CEPH/Utah pedigree 1459, treatment: Epstein-Barr Virus transformed	mesoderm	blood		M	Stam  	Coriell GM12874	BTO:0002062 (non-specific)	GM12874
GM12875	3	B-lymphocyte, lymphoblastoid, International HapMap Project, CEPH/Utah pedigree 1459, treatment: Epstein-Barr Virus transformed	mesoderm	blood		F	Stam  	Coriell GM12875	BTO:0002062 (non-specific)	GM12875
GM12878-XiMat	3	B-lymphocyte, lymphoblastoid, cloned for maternal X inactivation, International HapMap Project, CEPH/Utah, Epstein-Barr Virus	mesoderm	blood	normal	F	Myers  	Hunt Willard at Duke University GM12878-XiMat	BTO:0002062	GM12878-XiMat
GM12891	3	B-lymphocyte, lymphoblastoid, International HapMap Project, CEPH/Utah pedigree 1463, treatment: Epstein-Barr Virus transformed	mesoderm	blood		M	Crawford  	Coriell GM12891	BTO:0002062 (non-specific)	GM12891
GM12892	3	B-lymphocyte, lymphoblastoid, International HapMap Project, CEPH/Utah pedigree 1463, treatment: Epstein-Barr Virus transformed	mesoderm	blood		F	Crawford  	Coriell GM12892	BTO:0002062 (non-specific)	GM12892
GM13976	3	lymphoblastoid cell line, clinically normal; monozygotic twin sister with Cornelia De Lange syndrome is GM13977	mesoderm	blood	normal	F	Crawford  	Coriell GM13976	BTO:0002062	GM13976
GM13977	3	lymphoblastoid cell line, Clinically affected; microcephaly; low frontal hairline; synophris; "penciled" arched eyebrows; short nose; crescent shaped mouth; hirsutism; micromelia; short thumbs; mental retardation; clinically normal monozygotic twin sister is GM13976	mesoderm	blood	affected	F	Crawford  	Coriell GM13977	BTO:0002062	GM13977
